text,text_pp,category
live coverage suggests  your aid laid hands on Acosta 1st  Or does live t.v lie? If Acosta was a women that bit of theatre wouldn't have worked! You're a scam artist. What's  worse you taint those around you by association.   ,live coverage suggests your aid laid hands on acosta numst or does live t.v lie? if acosta was a women that bit of theatre would not have worked! you are a scam artist. what is worse you taint those around you by association.,0
Isn't  about believing the victims coming out.,is not about believing the victims coming out.,0
"As a Democrat, I was happy that Clinton's sexcapades occured at the same time Mark McGuire was having a home run race w/Sammy Sosa. ","as a democrat, i was happy that clinton sexcapades occured at the same time mark mcguire was having a home run race w/sammy sosa.",1
"From someone who had a good chunk of her  moments at that age bracket, usually by men aged 30-70 (and I DID NOT look mature for my age at all), thank you.

And also, ew. 🤢","from someone who had a good chunk of her moments at that age bracket, usually by men aged num-num (and i did not look mature for my age at all), thank you. and also, ew.",1
"Just listened to your  episode. Thank you, especially for the second segment with D Copaken. So enlightening and eloquent. Really appreciate her actions and perspective 📻","just listened to your episode. thank you, especially for the second segment with d copaken. so enlightening and eloquent. really appreciate her actions and perspective",0
Wait some day m sure some  is there in your account too. Wait.,wait some day m sure some is there in your account too. wait.,0
"           &lt;-- They have shared my story to Help others. Maybe share your story with them, to help even more people? 🦋","&lt;-- they have shared my story to help others. maybe share your story with them, to help even more people?",0
 And then there's the part where the white  movement uses you Black girls to dis Black men.,and then there is the part where the white movement uses you black girls to dis black men.,1
"Honestly, no. But I will be. This will be a turning point, more people will vote, more people will demand that elected officials actually serve their constituents, people will strive to stand up &amp; make a diff. Democracy is battered but we won’t be. 

","honestly, no. but i will be. this will be a turning point, more people will vote, more people will demand that elected officials actually serve their constituents, people will strive to stand up & make a diff. democracy is battered but we will not be.",0
"This just in. Judge Kavanaugh's latest scandal. There are pics of him now being released while he was butt-naked with a couple of women while being spanked. The nurses that were around him when he was born are the latest witnesses found in  Too late now, he's confirmed.🤣","this just in. judge kavanaugh latest scandal. there are pics of him now being released while he was butt-naked with a couple of women while being spanked. the nurses that were around him when he was born are the latest witnesses found in too late now, he is confirmed.",0
"🎶 I’m sorry, what?
Did you really just say that to me? 🎶 

This is exactly the kind of shit I’m talking about in my song  

","i am sorry, what? did you really just say that to me? this is exactly the kind of shit i am talking about in my song",1
 Women have been working on committees to better our communities for well over 100 years.  To say it’s too hard for us women is sexist.  Then you wonder why  was started!,women have been working on committees to better our communities for well over num years. to say it is too hard for us women is sexist. then you wonder why was started!,1
" Hillary Clinton says no, not . You're on your own, sister.","hillary clinton says no, not . you are on your own, sister.",1
Shamed into silence: Female journalists are disproportionately targeted for sexual harassment and assault — and I'm proof.,shamed into silence: female journalists are disproportionately targeted for sexual harassment and assault and i am proof.,0
" How can anyone believe this due to how it was first alleged, timing and her credibility issues?  No one wants these types of crimes to happen and certainly no one wants to go unreported BUT SHE is doing a injustice to  that my wife is a victim.  God bless all true victims.","how can anyone believe this due to how it was first alleged, timing and her credibility issues? no one wants these types of crimes to happen and certainly no one wants to go unreported but she is doing a injustice to that my wife is a victim. god bless all true victims.",1
Use Trump strategy Never defend Always attach         REASON2            Restore  Integrity Transparency,use trump strategy never defend always attach reasonnum restore integrity transparency,0
you gotta be serious after all this mashup   ,you gotta be serious after all this mashup,1
"The Male Patriarchy has oppressed us once more, straight white men have treatened me with racism threats ","the male patriarchy has oppressed us once more, straight white men have treatened me with racism threats",1
When I was 12 I was gang raped by the men he brought home. I have tasted the blood of my own while I performed oral sex on other men because I was bleeding from my anus. ,when i was num i was gang raped by the men he brought home. i have tasted the blood of my own while i performed oral sex on other men because i was bleeding from my anus.,1
"Now they decide to 'dilute' spech about  with smth like Kavanaugh' tuff or  movement... nice

Women being forced into sex work by universal credit, says MP","now they decide to spech about with smth like kavanaugh tuff or movement. nice women being forced into sex work by universal credit, says mp",1
"It was a dream come true to hear  speak about speaking out as women, being the favorite grandchild, and her writing career at  this evening. Always funny, she never disappoints. Can’t wait for her new book out in June ","it was a dream come true to hear speak about speaking out as women, being the favorite grandchild, and her writing career at this evening. always funny, she never disappoints. cannot wait for her new book out in june",1
"The fact that a grown man rather ignore the assault than to help this child, shows how fucked up &amp; ignorant folks are when it comes to helping others in a time of need. More concerned with his self than the well being of this child.
He choose to do nothing &amp; then lied","the fact that a grown man rather ignore the assault than to help this child, shows how fucked up & ignorant folks are when it comes to helping others in a time of need. more concerned with his self than the well being of this child. he choose to do nothing & then lied",1
"The crippling thing about my choice to work as an actor in India was the lack of legal recourse if it all went wrong. I was my police, defendant &amp; judge all at once in each situation &amp; was bullied for it. Labelled ‘too difficult/brainy’.  
","the crippling thing about my choice to work as an actor in india was the lack of legal recourse if it all went wrong. i was my police, defendant & judge all at once in each situation & was bullied for it. labelled difficult/brainy.",0
"At the heart of , we are begging men to think about the recipient of their attention. To consider how it might land, or how it might damage our reputation or credibility. Or how it might make us feel.","at the heart of , we are begging men to think about the recipient of their attention. to consider how it might land, or how it might damage our reputation or credibility. or how it might make us feel.",0
"This is a really good piece by ! Probably one Indian Journalist I'll trust in India and China matters, because he has experience of having lived in both places. 
How far can  go in India and China?","this is a really good piece by ! probably one indian journalist i will trust in india and china matters, because he has experience of having lived in both places. how far can go in india and china?",0
"My theory is, it was never hijacked in the first place. The suspected white supremacist women merely made the  platform, put a Black mascot on it to gather more “minority women” on the wagon and gain relevance, and the SWS women get the bag.","my theory is, it was never hijacked in the first place. the suspected white supremacist women merely made the platform, put a black mascot on it to gather more women on the wagon and gain relevance, and the sws women get the bag.",1
"Badminton ace PV Sindhu comes out in support of  movement 
     
 
",badminton ace pv sindhu comes out in support of movement,0
   I'm old enough to remember when Haley Adams was posting her outrage about a young black man being murdered after a white woman falsely claimed ,i am old enough to remember when haley adams was posting her outrage about a young black man being murdered after a white woman falsely claimed,1
This is fucking disgusting and outrageous     😡😡😡😡,this is fucking disgusting and outrageous,1
Democrats utilized the red-hot  movement to create the false narrative that Judge Kavanaugh is a serial sexual abuser and the Republicans are bunch of old white heartless racists sexists and misogynists that should be “Shut Up!”.,democrats utilized the red-hot movement to create the false narrative that judge kavanaugh is a serial sexual abuser and the republicans are bunch of old white heartless racists sexists and misogynists that should be up!.,1
Another poll (NPR/Ipsos) finds attitudes about  more divided by political party than gender:,another poll (npr/ipsos) finds attitudes about more divided by political party than gender:,0
This. This is the issue right here. Now if parents would simply teach their sons to respect others - women and men - there would be no need to ever have a  my sympathies to the son. This is your role model.,this is the issue right here. now if parents would simply teach their sons to respect others - women and men - there would be no need to ever have a my sympathies to the son. this is your role model.,1
"MICHAEL AVENATTI ARRESTED FOR FELONY DOMESTIC VIOLENCE
         Anderson Cooper best buddy and CNN Fake News frequent commentator arrested.  ",michael avenatti arrested for felony domestic violence anderson cooper best buddy and cnn fake news frequent commentator arrested.,1
"Richard E. Grant on  director Marielle Heller: “Despite the  movement and all the accolades at festivals, she has managed not to get a Best Director nomination in almost everything, which is astonishing.”","richard e. grant on director marielle heller: the movement and all the accolades at festivals, she has managed not to get a best director nomination in almost everything, which is astonishing.",0
Only Mango man could turn the  movement into a scary time for men in America.  FFS,only mango man could turn the movement into a scary time for men in america. ffs,0
Did he do it to you come forward today !!!,did he do it to you come forward today !,0
This too deserves to be circulated. ,this too deserves to be circulated.,0
"This is so sad.  If not for women, then country. 

For female Republicans, party loyalty trumps .
","this is so sad. if not for women, then country. for female republicans, party loyalty trumps .",0
 10 years in jail.  Send a wake up call to these women. You lie you pay. Too many false allegations just walking free with no repercussions.,num years in jail. send a wake up call to these women. you lie you pay. too many false allegations just walking free with no repercussions.,1
Curious as to why  ignored this story.  ,curious as to why ignored this story.,0
Happy landing  and best of luck from  . We wish you safe travel across the globe with a hope that from air we will be listening to u as u are also a parent. We also want our kids to be like u but these  wont let us  now  ,happy landing and best of luck from . we wish you safe travel across the globe with a hope that from air we will be listening to u as u are also a parent. we also want our kids to be like u but these wont let us now,1
"Ever play wow with your dick..but have Greater Pyroblast on every keybind..
 ",ever play wow with your dick.but have greater pyroblast on every keybind.,1
"But you have not called out  yet. Why?
",but you have not called out yet. why?,0
"Dear  the bullshit in this documentary is beyond reasonable doubt , protect real victims by ousting these liars James Safechuck and Wade Robson .","dear the bullshit in this documentary is beyond reasonable doubt , protect real victims by ousting these liars james safechuck and wade robson .",0
": , ,  and  talk about the nuances of harassment. Watch :",": , , and talk about the nuances of harassment. watch :",0
I unsaracastically apologise for men who don't get the hints etc. I never realised just how many times women were so scared or uncomfortable until  started and i found out how many friends i knew had gone through this or something like it. 1/2,i unsaracastically apologise for men who do not get the hints etc. i never realised just how many times women were so scared or uncomfortable until started and i found out how many friends i knew had gone through this or something like it. num/num,0
    But why only post on  using the hashtag ? Why not report to Police as well? You got the guts to post online and not to report to Police.,but why only post on using the hashtag ? why not report to police as well? you got the guts to post online and not to report to police.,0
It's funny how  has women defending their husbands' acts as an extramarital affair. Reminds me of monkeygate 2008 (one evil &gt; another),it is funny how has women defending their husbands acts as an extramarital affair. reminds me of monkeygate num (one evil &gt; another),0
"Worth Reading 
 interviews Raya Sarkar who kickstarted the  movement last year. 
",worth reading interviews raya sarkar who kickstarted the movement last year.,0
"Have you seen this?  is behind a  movement in Croatia
",have you seen this? is behind a movement in croatia,0
RT : One way to fight back against a U.S. senate that doesn't  - let's flip the Senate on November 6th. Join us here: ,rt : one way to fight back against a u.s. senate that does not - let us flip the senate on november numth. join us here:,0
"Why us the FIRST response from police against peaceful protesters is to ARREST!!!

 ",why us the first response from police against peaceful protesters is to arrest!,0
" According to his bond order, Kodak Black can't comment on his allegations in ANY form. If he violates that, his bond can be revoked. 

Idk if he’s innocent or not, but sexual assault and the  movement need to be discussed broadly in hip hop....but Mr. Black ain’t the one","according to his bond order, kodak black cannot comment on his allegations in any form. if he violates that, his bond can be revoked. idk if he is innocent or not, but sexual assault and the movement need to be discussed broadly in hip hop.but mr. black are not the one",1
  She is talking abt women who dont support ppl who are not strong enough to face such situations.. there are tweets circulating in SM that  story is better than  story but not all can do that !!,she is talking abt women who dont support ppl who are not strong enough to face such situations. there are tweets circulating in sm that story is better than story but not all can do that !,0
Murkowski;You have made all women victims; you have made  a farce; you have convicted all men without evidence;you have used Dr. Ford;  you have destroyed someone’s life&amp; career. You don’t deserve flowers.,murkowski;you have made all women victims; you have made a farce; you have convicted all men without evidence;you have used dr. ford; you have destroyed someone life& career. you do not deserve flowers.,1
"Shame on you for hating and convicting Justice Kavanaugh. Pamela Anderson blasts the  movement, says feminism can 'go too far'","shame on you for hating and convicting justice kavanaugh. pamela anderson blasts the movement, says feminism can too far",0
 Talks big about  and retweets Wire and Dua - Do we need to say more?! 🤐,talks big about and retweets wire and dua - do we need to say more?!,0
"
Fuck you...hope all involved this
1. Get sued out of their pie-holes
2. Suffer long, miserable, painful lives and deaths
","fuck you.hope all involved this num. get sued out of their pie-holes num. suffer long, miserable, painful lives and deaths",1
One woman started a   movement. Will It Ever Go Away?  ,one woman started a movement. will it ever go away?,0
" i am worried she will also cry  soon. Modelling, movie and media.. 3M really behaving shit all along","i am worried she will also cry soon. modelling, movie and media. numm really behaving shit all along",1
" I don't know Chinmayi beyond her work. I'm only fan of IR sir and MS Dhoni. But my support for her in  as a guy is only because she's a lady, Just like my Sister, Mom, Wife or Daughter. Peace. 🙏🙏🙏","i do not know chinmayi beyond her work. i am only fan of ir sir and ms dhoni. but my support for her in as a guy is only because s he is a lady, just like my sister, mom, wife or daughter. peace.",1
Same-sex mouse parents gave birth to healthy babies just in time for midterms,same-sex mouse parents gave birth to healthy babies just in time for midterms,1
"movement making the Kavanaughs, Bill Cosby’s, Brock Turners, etc of the world scared is a good thing.","movement making the kavanaughs, bill cosby, brock turners, etc of the world scared is a good thing.",0
"Yo the store on base had the audacity to tell me, a hard working tax payer, that I couldn’t buy a 12 rack of platinums at 5:13 am!","yo the store on base had the audacity to tell me, a hard working tax payer, that i could not buy a num rack of platinums at num:num am!",0
"I’m so sorry Leona. 
These things should never be.




",i am so sorry leona. these things should never be.,1
"accused by them even if anonymous accounts: Endless

Tweets on  even when by real person :

 : 0
 : 0
 : 0
 : 0
 : 0
 : 0
 : 0 (anyways he is busy defending himself )",accused by them even if anonymous accounts: endless tweets on even when by real person : : num (anyways he is busy defending himself ),0
"It would be great if you could stand up for people, too.  has no position on  or  or  or . Be a true representative,  speak up!","it would be great if you could stand up for people, too. has no position on or . be a true representative, speak up!",0
I don't think  depends on how much we like someone or how useful they are. Principle is principle. 8 accusers is 8 accusers.,i do not think depends on how much we like someone or how useful they are. principle is principle. num accusers is num accusers.,0
Makes real sense to me → RT  Why all real men empower women:,makes real sense to me rt why all real men empower women:,1
"    yeah, don't  Prince charming... ffs","yeah, do not prince charming. ffs",0
"Shout out to this awesome man at the tram station who got up, ready to punch a clearly drunk guy that was harassing me.
","shout out to this awesome man at the tram station who got up, ready to punch a clearly drunk guy that was harassing me.",0
" A4. I haven’t seen ANY impact of  like movements on adolescents unless somebody within their inner circle like a mother or friend have propelled the conversation to such discussions.

These have been great topics for debates, but the understanding is missing.

","anum. i have not seen any impact of like movements on adolescents unless somebody within their inner circle like a mother or friend have propelled the conversation to such discussions. these have been great topics for debates, but the understanding is missing.",1
: Tanushree Dutta calls Rakhi Sawant a SEX OBSESSED MORON after being accused of being a lesbian,: tanushree dutta calls rakhi sawant a sex obsessed moron after being accused of being anumlesbian,1
"He+She=
Him+Her=
This is Gender equality🙂
This is best rule for all✌️
",he+she= him+her= this is gender equality this is best rule for all,1
Successful comics not even pretend to be relatable no more.  actresses are pretending to regret fucking some ugly creeps. not condoning rape but it's odd that  quickly became co-opted &amp;no1 cares it's about niche labor. Never thought I'd respect pretending keeping it real,successful comics not even pretend to be relatable no more. actresses are pretending to regret fucking some ugly creeps. not condoning rape but it is odd that quickly became co-opted &nonum cares it is about niche labor. never thought i would respect pretending keeping it real,1
Watching  this am since old white guys golfing is preempting . Bad choice ! ,watching this am since old white guys golfing is preempting . bad choice !,1
" No we need to counter the  female victim narrative.' The prevailing climate of offence-taking isn’t merely a problem for those who fall foul of it ..political correctness often causes the most harm to those it purports to protect'. 
",no we need to counter the female victim narrative. the prevailing climate of offence-taking is not merely a problem for those who fall foul of it .political correctness often causes the most harm to those it purports to protect.,0
"Her uncle, Chuck, molested her and she's been acting out and seeking attention ever since","her uncle, chuck, molested her and s he is been acting out and seeking attention ever since",1
"1/
Said it 'n' times..This  isn't as much abt confining physical space(which is wrong)but abt confining hrts.
So if to assume,as contended by women,that sexual harassment of women by men,is more than d reverse..what if to assume,as contended by men,that women lie much more?","num/ said it times.this is not as much abt confining physical space(which is wrong)but abt confining hrts. so if to assume,as contended by women,that sexual harassment of women by men,is more than d reverse.what if to assume,as contended by men,that women lie much more?",1
couldn't release that though since it's the  era I gotta worry about gettin' hoes to rep me,could not release that though since it is the era i gotta worry about gettin hoes to rep me,1
 Exactly. He should “” her ass for trying to hug him all the time.,exactly. he should her ass for trying to hug him all the time.,1
"

Aren't you  followers happy Miss Ford is spending that GOFUND me $$$$ (that is over 1 million) on women who have been hurt.",are not you followers happy miss ford is spending that gofund me $$$$ (that is over num million) on women who have been hurt.,1
 Because Alyssa is full of it. She has worked in an industry where everyone knows women are victimized in this way and not once did she  the hell out of it until now.,because alyssa is full of it. she has worked in an industry where everyone knows women are victimized in this way and not once did she the hell out of it until now.,1
"has been a known tharki for ages now , just that nobody gave a fuck till now","has been a known tharki for ages now , just that nobody gave a fuck till now",1
"I’m watching  for the 1st time and while the acting &amp; cinematography are phenomenal, it’s another stark reminder of white women thinking they are the only women on the planet 🤦🏽‍♀️.  When they make a movie about  I wonder how white it will be 😬.","i am watching for the numst time and while the acting & cinematography are phenomenal, it is another stark reminder of white women thinking they are the only women on the planet . when they make a movie about i wonder how white it will be .",1
"Muslim taxi driver telling me that liberal, commie, chrislamist ,bollywoodia hinduphobic discourse on Kathua has backfired  spectacularly.


 
He further said that he will pray to the Devi on behalf of all Hindu phobes this Navratri 
","muslim taxi driver telling me that liberal, commie, chrislamist ,bollywoodia hinduphobic discourse on kathua has backfired spectacularly. he further said that he will pray to the devi on behalf of all hindu phobes this navratri",0
How do you know when  is lying?  When he opens his mouth &amp; keep looking at the Camera!                   ,how do you know when is lying? when he opens his mouth & keep looking at the camera!,0
"We all are crusaders of women empowerment and Naari Shakti until it is our husband, brother or father. Conditional Feminist. Are we? ","we all are crusaders of women empowerment and naari shakti until it is our husband, brother or father. conditional feminist. are we?",1
I’m with you on this one!Let’s start the movement to kneel for the Anthem for the  movement.Women unite &amp; kneel in honor of our brave woman coming out to tell their truth!! I’ve had it with these  “always had it their way” men! I’m so damn tired of being dismissed by men!,i am with you on this one!let us start the movement to kneel for the anthem for the movement.women unite & kneel in honor of our brave woman coming out to tell their truth! i have had it with these had it their way men! i am so damn tired of being dismissed by men!,1
"Good! After making fun of Dr Ford and the  movement at a rally yesterday, he deserves all the bad coming his way!!

New York authorities launch 'vigorous investigation' into claims Trump dodged millions in inheritance tax","good! after making fun of dr ford and the movement at a rally yesterday, he deserves all the bad coming his way! new york authorities launch investigation into claims trump dodged millions in inheritance tax",0
"Yes, why is it taking Dems so long to get this? Every single one of them are all in as Trump Republicans! From her own admission, Senator Murkowski has had a  moment, so that explains her vote! Manchin is a wolf in sheep's clothing!","yes, why is it taking dems so long to get this? every single one of them are all in as trump republicans! from her own admission, senator murkowski has had a moment, so that explains her vote! manchin is a wolf in sheep clothing!",1
"Thank you for your reply. As you rightly point out the  movement has incentivised women to come forward about sexual abuse and we have to be mindful not to disincentivise women by encouraging the myth that false reporting is ubiquitous, thus women’s testimony is unreliable","thank you for your reply. as you rightly point out the movement has incentivised women to come forward about sexual abuse and we have to be mindful not to disincentivise women by encouraging the myth that false reporting is ubiquitous, thus women testimony is unreliable",1
I don't see anything wrong the commercial. Why are men saying they won't buy Gillette products because of anti-bullying?,i do not see anything wrong the commercial. why are men saying they will not buy gillette products because of anti-bullying?,0
"About time. We'll see what happens with AG Sessions.   
Justice Department Investigates Pennsylvania Dioceses Accused of Sex Abuse Cover-Up",about time. we will see what happens with ag sessions. justice department investigates pennsylvania dioceses accused of sex abuse cover-up,1
"  

Is this man the poster child of Toxic Masculinity?
Does the DNC believe in EQUALITY for men who physically abuse woman?  Are Democrats, Socialist Democrats, and Democratic Communists Calling for a full FBI Investigation of allegations against this man?","is this man the poster child of toxic masculinity? does the dnc believe in equality for men who physically abuse woman? are democrats, socialist democrats, and democratic communists calling for a full fbi investigation of allegations against this man?",0
"Thankful for the  movement. Lots of normalised behaviour is being outed. I heard someone say that toxic masculinity, catalysed by war &amp; capitalism (adds and movies), hold a direct connection to the contempt for women, and the disrespect for and destruction of mother earth.","thankful for the movement. lots of normalised behaviour is being outed. i heard someone say that toxic masculinity, catalysed by war & capitalism (adds and movies), hold a direct connection to the contempt for women, and the disrespect for and destruction of mother earth.",1
is so choosy. Who stands for  women and men?! The .,is so choosy. who stands for women and men?! the .,0
"If they vote him in...we vote them out.

     ",if they vote him in.we vote them out.,0
"This is not a gender fight but one against a deeply rooted patriachal thinking.

Last few days have made me question my normalisation of inappropriate situations and why I never gave them a second thought. Am still learning... 

",this is not a gender fight but one against a deeply rooted patriachal thinking. last few days have made me question my normalisation of inappropriate situations and why i never gave them a second thought. am still learning.,0
We need to vote these 22  male congressman out of office!..All of these despicable man voted against            READ,we need to vote these num male congressman out of office!.all of these despicable man voted against read,1
